Time,Y
14.69,3.262615
14.7,3.272944
14.71,3.265909
14.721,3.288212
14.731,3.295397
14.741,3.275788
14.751,3.323688
14.761,6.653963
14.771,4.091891
14.781,0.524809
14.791,2.62554
14.801,2.816094
14.811,2.349065
14.821,2.783013
14.831,2.763853
14.841,2.564467
14.851,2.7408
14.861,3.109484
14.871,3.468886
14.881,3.751349
14.891,3.817661
14.901,3.794609
14.911,3.672613
14.921,3.545677
14.931,3.402574
14.941,3.309767
14.951,3.220553
14.961,3.144661
14.971,3.042124
14.981,2.955005
14.991,2.900818
15.001,2.909649
15.012,2.960993
15.0220051269531,2.999014
15.032,3.073858
15.042,3.168162
15.052,3.240312
15.062,3.276836
15.072,3.261418
15.082,3.243605
15.092,3.259622
15.102,3.298092
15.112,3.319048
15.122,3.299439
15.132,3.259921
15.142,3.222499
15.152,3.192711
15.162,3.169958
15.172,3.208278
15.182,3.284769
15.192,4.465963
15.202,7.253317
15.212,1.074017
15.222,1.823209
15.232,2.567162
15.242,2.058669
15.252,2.917583
15.262,3.001558
15.272,2.867138
15.282,3.152444
15.292,3.539539
15.303,3.989204
15.313,4.259842
15.323,4.140989
15.333,3.848048
15.3430051269531,3.656446
15.353,3.623964
15.363,3.583398
15.373,3.463647
15.383,3.353476
15.3929948730469,3.263663
15.403,3.197201
15.413,3.147355
15.423,3.163072
15.433,3.214565
15.443,3.315755
15.453,3.381019
15.463,3.399131
15.473,3.401377
15.483,3.382366
15.493,3.379073
15.503,3.379073
15.513,3.449427
15.523,3.499573
15.533,3.485053
15.543,3.453319
15.553,3.404221
15.563,3.344196
15.573,3.314408
15.583,3.360212
15.594,3.474724
15.604,3.65944
15.614,8.170759
15.624,5.270091
15.634,-0.231419
15.644,1.845662
15.654,2.111509
15.664,2.605482
15.674,3.593727
15.684,3.511398
15.694,3.476371
15.704,3.823349
15.714,4.245471
15.724,4.480632
15.734,4.436474
15.744,4.230203
15.754,3.969595
15.764,3.819158
15.774,3.730542
15.784,3.6307
15.794,3.473078
15.804,3.300038
15.814,3.227888
15.824,3.2219
15.834,3.285218
15.844,3.378474
15.854,3.463647
15.864,3.533552
15.874,3.573669
15.885,3.562142
15.895,3.543282
15.905,3.526217
15.915,3.526217
15.925,3.578908
15.935,3.611839
15.945,3.614833
15.955,3.627107
15.965,3.633394
15.975,3.559448
15.985,3.478017
15.995,3.428321
16.005,3.375032
16.015,3.37084
16.025,3.418292
16.0349948730469,3.433859
16.045,3.430865
16.055,3.456013
16.065,3.454067
16.075,3.431464
16.085,3.347189
16.095,3.313809
16.105,3.312911
16.115,3.387156
16.125,3.49119
16.135,3.560795
16.145,3.53939
16.155,3.504063
16.165,3.49119
16.176,3.441942
16.186,3.393294
16.196,3.37563
16.206,3.371589
16.216,3.406317
16.226,3.383264
16.236,3.393144
16.246,3.403023
16.256,3.418292
16.266,3.39479
16.276,3.400179
16.286,3.446283
16.296,3.49104
16.306,3.540737
16.316,3.566783
16.326,3.562741
16.336,3.483855
16.346,3.398533
16.356,3.341052
16.366,3.369643
16.376,3.39479
16.386,3.453319
16.396,3.542384
16.406,3.571872
16.416,3.570525
16.426,3.515589
16.436,3.502566
16.446,3.48176
16.456,3.404371
16.466,3.362607
16.477,3.392994
16.487,3.375032
16.497,3.376678
16.507,3.422483
16.517,3.439248
16.527,3.421884
16.537,3.363506
16.547,3.354075
16.557,3.342849
16.567,3.359165
16.577,3.376978
16.587,3.418142
16.597,3.479065
16.607,3.500321
16.617,3.528013
16.627,3.495381
16.637,3.455265
16.647,3.42383
16.657,3.40467
16.667,3.445535
16.677,3.495232
16.687,3.557502
16.697,3.581153
16.707,3.577261
16.717,3.558101
16.727,3.527864
16.737,3.462599
16.747,3.403622
16.757,3.345842
16.768,3.304977
16.778,3.31336
16.788,3.350932
16.798,3.36126
16.808,3.363506
16.818,3.391198
16.828,3.401976
16.838,3.393294
16.848,3.368296
16.858,3.350183
16.868,3.341352
16.878,3.295697
16.888,3.310216
16.898,3.364404
16.908,3.388504
16.918,3.419339
16.928,3.44329
16.938,3.464845
16.948,3.450325
16.958,3.429818
16.968,3.383863
16.978,3.381768
16.988,3.381019
16.998,3.433859
17.008,3.498525
17.018,3.537893
17.028,3.557352
17.038,3.531157
17.048,3.48625
17.059,3.420836
17.069,3.420537
17.079,3.455564
17.089,3.472629
17.099,3.516188
17.109,3.512895
17.119,3.478167
17.129,3.445086
17.139,3.451523
17.149,3.45766
17.159,3.412154
17.169,3.389551
17.179,3.374583
17.189,3.388953
17.199,3.407813
17.209,3.363805
17.219,3.375331
17.229,3.428021
17.239,3.484753
17.249,3.543731
17.259,3.614983
17.269,3.641028
17.279,3.576213
17.289,3.454666
17.299,3.407664
17.309,4.888684
17.319,6.094427
17.329,2.204765
17.339,2.720742
17.3499948730469,2.729873
17.36,2.746189
17.37,3.237767
17.38,3.199447
17.39,3.109484
17.4,3.233276
17.41,3.407514
17.42,3.445984
17.43,3.408113
17.44,3.298391
17.45,3.16891
17.46,3.119962
17.47,3.136428
17.48,3.195555
17.49,3.216062
17.5,3.144661
17.51,3.07266
17.52,3.079247
17.53,3.150798
17.54,3.20738
17.55,3.233426
17.56,3.268453
17.57,3.326682
17.58,3.37084
17.59,3.453019
17.6,3.454965
17.61,3.430566
17.62,3.408861
17.63,3.430117
17.641,3.42877
17.651,3.413651
17.661,3.354225
17.6709948730469,3.322341
17.681,3.321742
17.691,3.30842
17.701,3.899541
17.711,6.561755
17.721,1.766626
17.731,1.873354
17.741,2.621948
17.751,1.963467
17.761,2.816693
17.771,2.992128
17.781,2.73646
17.791,3.089575
17.801,3.470234
17.811,3.782335
17.821,3.979924
17.831,3.951633
17.841,3.854784
17.851,3.836372
17.861,3.847449
17.871,3.826193
17.881,3.738925
17.891,3.565585
17.901,3.372786
17.911,3.229085
17.921,3.125351
17.932,3.090324
17.942,3.060386
17.952,3.057841
17.962,3.120261
17.972,3.191663
17.982,3.247347
17.992,3.327281
18.002,3.365751
18.012,3.409909
18.022,3.449876
18.032,3.451073
